File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1112, 18.7, 20.3
node10.prof, validateTransaction, 1010, 13.5, 18.1
node10.prof, txIsUnique, 511, 2.4, 0.0
node10.prof, mint', 101, 2.5, 2.1
node1.prof, processTXs', 1112, 17.6, 20.2
node1.prof, validateTransaction, 1010, 12.7, 17.1
node1.prof, txIsUnique, 513, 2.0, 0.0
node1.prof, mint', 101, 2.5, 3.1
node2.prof, processTXs', 1103, 17.9, 18.1
node2.prof, validateTransaction, 1010, 14.8, 17.9
node2.prof, txIsUnique, 468, 2.1, 0.0
node2.prof, mint', 92, 0.5, 0.1
node3.prof, processTXs', 1112, 19.5, 21.7
node3.prof, validateTransaction, 1010, 15.0, 20.2
node3.prof, txIsUnique, 515, 2.6, 0.0
node3.prof, mint', 101, 1.6, 1.5
node4.prof, processTXs', 1112, 19.6, 19.5
node4.prof, validateTransaction, 1010, 13.9, 17.1
node4.prof, txIsUnique, 518, 3.0, 0.0
node4.prof, mint', 101, 2.3, 2.4
node5.prof, processTXs', 1112, 20.6, 21.9
node5.prof, validateTransaction, 1010, 15.3, 19.9
node5.prof, txIsUnique, 515, 2.8, 0.0
node5.prof, mint', 101, 1.9, 2.0
node6.prof, processTXs', 1112, 20.9, 20.8
node6.prof, validateTransaction, 1010, 14.0, 18.1
node6.prof, txIsUnique, 517, 2.8, 0.0
node6.prof, mint', 101, 3.6, 2.7
node7.prof, processTXs', 1112, 19.7, 19.6
node7.prof, validateTransaction, 1010, 13.5, 16.3
node7.prof, txIsUnique, 515, 2.7, 0.0
node7.prof, mint', 101, 3.4, 3.3
node8.prof, processTXs', 1112, 18.8, 18.4
node8.prof, validateTransaction, 1010, 13.2, 16.4
node8.prof, txIsUnique, 516, 2.8, 0.0
node8.prof, mint', 101, 2.2, 2.0
node9.prof, processTXs', 1112, 20.8, 21.7
node9.prof, validateTransaction, 1010, 15.0, 20.2
node9.prof, txIsUnique, 516, 3.6, 0.0
node9.prof, mint', 101, 1.5, 1.5
