File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 301, 11.1, 11.2
node1.prof, validateTransaction, 255, 8.0, 7.9
node1.prof, txIsUnique, 228, 0.7, 0.0
node1.prof, mint', 45, 2.1, 3.4
node2.prof, processTXs', 301, 11.1, 11.3
node2.prof, validateTransaction, 255, 8.4, 8.9
node2.prof, txIsUnique, 230, 0.7, 0.0
node2.prof, mint', 45, 1.7, 2.3
node3.prof, processTXs', 301, 13.1, 14.2
node3.prof, validateTransaction, 255, 8.6, 9.4
node3.prof, txIsUnique, 227, 0.9, 0.0
node3.prof, mint', 45, 3.3, 4.8
node4.prof, processTXs', 301, 9.0, 8.2
node4.prof, validateTransaction, 255, 6.1, 5.9
node4.prof, txIsUnique, 227, 0.8, 0.0
node4.prof, mint', 45, 2.0, 2.3
node5.prof, processTXs', 301, 10.7, 10.5
node5.prof, validateTransaction, 255, 7.2, 7.9
node5.prof, txIsUnique, 229, 0.9, 0.0
node5.prof, mint', 45, 2.5, 2.6
